93226980131,-1,-1,-1,{}
68487781428,3,1,5,"{""0"": [[217, 97, 491, 506]]}"
96975400616,-1,-1,-1,{}
8139932166,1,1,1,"{""0"": [[207, 256, 511, 558]]}"
73104753342,-1,-1,-1,{}
91681087352,1,1,1,"{""0"": [[270, 149, 311, 201]]}"
94231136584,2,1,1,"{""0"": [[153, 36, 308, 241]]}"
99998791456,-1,-1,-1,{}
64672235379,-1,-1,-1,{}
64583739615,-1,-1,-1,{}
99957682692,3,0,5,"{""0"": [[224, 11, 512, 331]]}"
82425089099,-1,-1,-1,{}
59211502618,3,1,4,"{""0"": [[280, 110, 354, 200]]}"
53054363752,-1,-1,-1,{}
93273069037,-1,-1,-1,{}
95822902530,-1,-1,-1,{}
97071000422,-1,-1,-1,{}
59963920766,3,0,3,"{""0"": [[70, 31, 366, 320]]}"
96825787498,-1,-1,-1,{}
94851402855,-1,-1,-1,{}
60711961364,1,0,4,"{""0"": [[212, 46, 341, 231]]}"
83067678023,-1,-1,-1,{}
96144441479,3,1,2,"{""0"": [[358, 117, 402, 183]]}"
97855228185,-1,-1,-1,{}
101150260231,4,1,5,"{""0"": [[218, 220, 245, 261]]}"
71207614849,1,0,1,"{""0"": [[38, 116, 323, 541], [325, 112, 544, 352]]}"
67941438398,-1,-1,-1,{}
92325033125,3,1,4,"{""0"": [[289, 78, 378, 250], [127, 150, 233, 280]]}"
84097748687,-1,-1,-1,{}
97220533882,-1,-1,-1,{}
62465929964,1,0,5,"{""0"": [[308, 198, 334, 232]]}"
97972873049,-1,-1,-1,{}
97663838803,4,1,2,"{""0"": [[227, 231, 384, 445]]}"
77974799912,3,1,1,"{""0"": [[192, 178, 479, 555]]}"
85617704554,2,1,1,"{""0"": [[463, 165, 489, 195], [311, 177, 333, 203], [186, 179, 211, 209], [5, 178, 38, 210]]}"
96769644190,1,0,3,"{""0"": [[61, 28, 125, 100]]}"
62381718517,2,1,1,"{""0"": [[226, 163, 498, 451]]}"
70378762545,-1,-1,-1,{}
95492018311,4,1,2,"{""0"": [[149, 95, 390, 405]]}"
97605002829,1,0,3,"{""0"": [[54, 22, 117, 90]]}"
93396459374,-1,-1,-1,{}
100067507025,1,1,1,"{""0"": [[377, 204, 629, 503], [86, 201, 331, 549]]}"
62956703391,3,1,2,"{""0"": [[319, 199, 405, 318]]}"
99406420819,3,1,1,"{""0"": [[208, 110, 466, 518]]}"
73455892744,1,0,1,"{""0"": [[357, 147, 416, 219], [296, 146, 349, 219]]}"
100338759830,-1,-1,-1,{}
61197963797,4,1,1,"{""0"": [[283, 302, 347, 366], [287, 180, 365, 272], [291, 67, 353, 135]]}"
82987626240,-1,-1,-1,{}
80371906651,-1,-1,-1,{}
63938234226,4,0,1,"{""0"": [[292, 308, 351, 386], [573, 332, 597, 368], [417, 289, 438, 315]]}"
70002013436,3,1,4,"{""0"": [[221, 69, 354, 286]]}"
71815987193,-1,-1,-1,{}
95209635385,3,1,4,"{""0"": [[167, 48, 372, 289]]}"
96438643466,-1,-1,-1,{}
99714756476,-1,-1,-1,{}
64188096735,-1,-1,-1,{}
64310499240,1,1,1,"{""0"": [[398, 179, 606, 399]]}"
79707493572,-1,-1,-1,{}
95964694493,2,0,3,"{""0"": [[234, 92, 383, 247]]}"
51716552342,-1,-1,-1,{}
70203207723,4,1,1,"{""0"": [[191, 73, 287, 191]]}"
53531195835,3,1,1,"{""0"": [[185, 248, 462, 505]]}"
61778738926,3,0,5,"{""0"": [[124, 87, 237, 254]]}"
74100910769,-1,-1,-1,{}
93322065001,-1,-1,-1,{}
96624917934,-1,-1,-1,{}
100762003927,-1,-1,-1,{}
63664172647,-1,-1,-1,{}
58884570175,1,0,1,"{""0"": [[175, 3, 335, 160], [333, 73, 567, 380]]}"
98450723660,4,1,5,"{""0"": [[286, 176, 331, 233]]}"
83599431824,1,1,1,"{""0"": [[107, 111, 497, 619]]}"
78518921333,-1,-1,-1,{}
62344920921,1,0,3,"{""0"": [[130, 46, 190, 119]]}"
97972249314,3,1,5,"{""0"": [[201, 101, 314, 255]]}"
76461309352,-1,-1,-1,{}
94787823857,1,0,2,"{""0"": [[385, 144, 462, 202]]}"
82949991027,-1,-1,-1,{}
62237194677,-1,-1,-1,{}
94066771430,1,0,0,"{""0"": [[286, 141, 369, 285]]}"
97317595910,-1,-1,-1,{}
98312886900,4,1,5,"{""0"": [[326, 107, 375, 173]]}"
88470230487,3,1,1,"{""0"": [[212, 162, 446, 490]]}"
6516874911,2,1,1,"{""0"": [[145, 163, 420, 572]]}"
70646875663,-1,-1,-1,{}
64480631058,-1,-1,-1,{}
101209356221,-1,-1,-1,{}
64565590579,-1,-1,-1,{}
67462101109,4,1,2,"{""0"": [[323, 141, 370, 208]]}"
87467339426,-1,-1,-1,{}
100340224360,2,1,1,"{""0"": [[303, 9, 504, 245]]}"
99649955560,3,1,5,"{""0"": [[125, 23, 185, 110]]}"
69391427713,-1,-1,-1,{}
98144945376,-1,-1,-1,{}
98067520474,-1,-1,-1,{}
79823127669,-1,-1,-1,{}
92215289515,-1,-1,-1,{}
66998431331,-1,-1,-1,{}
70232551440,-1,-1,-1,{}
97619700014,2,1,1,"{""0"": [[260, 99, 316, 170]]}"
96175168001,-1,-1,-1,{}
79476725164,4,0,3,"{""0"": [[147, 141, 207, 223]]}"
97241971573,0,0,1,"{""0"": [[176, 70, 429, 385]]}"
96460227977,-1,-1,-1,{}
97991449535,3,1,1,"{""0"": [[10, 8, 407, 431]]}"
96371100273,4,1,1,"{""0"": [[236, 144, 429, 386]]}"
93346986609,1,0,1,"{""0"": [[108, 0, 384, 329]]}"
71323105560,-1,-1,-1,{}
73112862714,1,1,3,"{""0"": [[311, 67, 395, 206]]}"
100810890692,4,1,2,"{""0"": [[37, 26, 75, 89]]}"
83298567389,4,1,2,"{""0"": [[253, 92, 377, 262]]}"
93433069440,-1,-1,-1,{}
71542228219,4,1,1,"{""0"": [[22, 69, 319, 463], [426, 114, 636, 518]]}"
71291980569,2,1,1,"{""0"": [[196, 68, 271, 170]]}"
100447503792,-1,-1,-1,{}
57068628943,3,0,5,"{""0"": [[197, 223, 533, 526]]}"
99460464197,-1,-1,-1,{}
67012525533,-1,-1,-1,{}
95455559529,-1,-1,-1,{}
61144047320,-1,-1,-1,{}
82628548299,-1,-1,-1,{}
96770734655,3,0,4,"{""0"": [[49, 103, 302, 453]]}"
14961878622,1,0,1,"{""0"": [[14, 15, 416, 622]]}"
95998185836,-1,-1,-1,{}
67126661100,4,0,1,"{""0"": [[135, 91, 442, 536]]}"
69796485315,3,1,1,"{""0"": [[289, 116, 531, 410]]}"
84073640406,-1,-1,-1,{}
87452312687,-1,-1,-1,{}
79290771589,-1,-1,-1,{}
97032803523,-1,-1,-1,{}
70107838984,1,1,1,"{""0"": [[174, 64, 400, 343]]}"
96718778387,-1,-1,-1,{}
93098684117,2,1,2,"{""0"": [[270, 262, 353, 356]]}"
